locus_SNP	locus	gRNA	cisGene	logFC	logCPM	empiricalP	empiricalFDR
rs520843	GALNT10	GALNT10_3_gene	FAM114A2	-0.152	6.53	0.583	0.997
rs520843	GALNT10	GALNT10_3_gene	CNOT8	0.587	6.63	0.0461	0.997
rs520843	GALNT10	GALNT10_3_gene	MRPL22	-0.102	8.12	0.467	0.997
rs12716973	KCTD13	KCTD13_1_gene	ZNF48	-0.781	6.71	0.00861	0.801
rs12716973	KCTD13	KCTD13_1_gene	NFATC2IP	-0.122	6.86	0.691	0.991
rs12716973	KCTD13	KCTD13_1_gene	INO80E	0.401	6.96	0.182	0.985
rs12716973	KCTD13	KCTD13_1_gene	FBRS	-0.0577	6.53	0.945	0.995
rs12716973	KCTD13	KCTD13_1_gene	QPRT	0.561	6.85	0.144	0.985
rs12716973	KCTD13	KCTD13_1_gene	KIF22	0.0844	7.38	0.761	0.991
rs12716973	KCTD13	KCTD13_1_gene	MAZ	-0.121	7.41	0.59	0.988
rs12716973	KCTD13	KCTD13_1_gene	CDIPT	-0.0261	6.8	0.926	0.995
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.425	7.43	0.0721	0.985
rs12716973	KCTD13	KCTD13_1_gene	HIRIP3	-0.303	7.07	0.286	0.985
rs12716973	KCTD13	KCTD13_1_gene	ALDOA	-0.0695	6.68	0.833	0.995
rs12716973	KCTD13	KCTD13_1_gene	PPP4C	0.0119	8.03	0.94	0.995
rs12716973	KCTD13	KCTD13_1_gene	MAPK3	0.139	6.74	0.667	0.991
rs12716973	KCTD13	KCTD13_1_gene	CORO1A	-0.15	6.52	0.65	0.988
rs12716973	KCTD13	KCTD13_1_gene	CD2BP2	-0.0995	7.12	0.69	0.991
rs12716973	KCTD13	KCTD13_1_gene	TBC1D10B	0.52	6.51	0.167	0.985
rs12716973	KCTD13	KCTD13_1_gene	ZNF771	0.4	6.7	0.254	0.985
rs12716973	KCTD13	KCTD13_1_gene	DCTPP1	0.212	7.54	0.425	0.985
rs12716973	KCTD13	KCTD13_1_gene	SEPHS2	0.0746	6.85	0.827	0.995
rs12716973	KCTD13	KCTD13_1_gene	ZNF768	-0.502	6.66	0.116	0.985
rs12716973	KCTD13	KCTD13_1_gene	ZNF689	0.109	6.73	0.73	0.991
rs12716973	KCTD13	KCTD13_1_gene	PRR14	-0.189	6.83	0.541	0.985
rs12716973	KCTD13	KCTD13_1_gene	PHKG2	0.665	6.64	0.0646	0.985
rs12716973	KCTD13	KCTD13_1_gene	RNF40	-0.29	6.91	0.324	0.985
rs12716973	KCTD13	KCTD13_1_gene	ZNF629	0.0767	6.5	0.821	0.995
rs12716973	KCTD13	KCTD13_1_gene	BCL7C	0.22	7.35	0.39	0.985
rs12716973	KCTD13	KCTD13_2_gene	ZNF48	-0.359	6.67	0.261	1
rs12716973	KCTD13	KCTD13_2_gene	NFATC2IP	0.485	6.81	0.144	1
rs12716973	KCTD13	KCTD13_2_gene	INO80E	0.214	6.97	0.459	1
rs12716973	KCTD13	KCTD13_2_gene	FBRS	0.738	6.5	0.057	1
rs12716973	KCTD13	KCTD13_2_gene	QPRT	0.857	6.83	0.0345	1
rs12716973	KCTD13	KCTD13_2_gene	KIF22	0.0552	7.38	0.829	1
rs12716973	KCTD13	KCTD13_2_gene	MAZ	0.0944	7.39	0.681	1
rs12716973	KCTD13	KCTD13_2_gene	CDIPT	0.361	6.78	0.257	1
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.468	7.42	0.0506	1
rs12716973	KCTD13	KCTD13_2_gene	HIRIP3	0.403	7	0.202	1
rs12716973	KCTD13	KCTD13_2_gene	ALDOA	0.196	6.66	0.551	1
rs12716973	KCTD13	KCTD13_2_gene	PPP4C	-0.195	8.06	0.207	1
rs12716973	KCTD13	KCTD13_2_gene	MAPK3	0.138	6.73	0.673	1
rs12716973	KCTD13	KCTD13_2_gene	CORO1A	0.356	6.5	0.364	1
rs12716973	KCTD13	KCTD13_2_gene	CD2BP2	0.111	7.09	0.67	1
rs12716973	KCTD13	KCTD13_2_gene	TBC1D10B	0.482	6.51	0.193	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF771	-0.496	6.76	0.0947	1
rs12716973	KCTD13	KCTD13_2_gene	DCTPP1	0.174	7.54	0.514	1
rs12716973	KCTD13	KCTD13_2_gene	SEPHS2	-0.15	6.87	0.656	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF768	0.177	6.62	0.604	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF689	0.401	6.71	0.232	1
rs12716973	KCTD13	KCTD13_2_gene	PRR14	-0.118	6.82	0.7	1
rs12716973	KCTD13	KCTD13_2_gene	PHKG2	0.249	6.65	0.448	1
rs12716973	KCTD13	KCTD13_2_gene	RNF40	-0.344	6.92	0.225	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF629	0.0719	6.49	0.843	1
rs12716973	KCTD13	KCTD13_2_gene	BCL7C	0.187	7.35	0.457	1
rs12716973	KCTD13	KCTD13_3_gene	ZNF48	-0.643	6.66	0.104	0.944
rs12716973	KCTD13	KCTD13_3_gene	NFATC2IP	-0.343	6.86	0.376	0.986
rs12716973	KCTD13	KCTD13_3_gene	INO80E	0.0468	6.97	0.909	0.998
rs12716973	KCTD13	KCTD13_3_gene	FBRS	-0.708	6.54	0.117	0.944
rs12716973	KCTD13	KCTD13_3_gene	QPRT	-0.157	6.88	0.757	0.998
rs12716973	KCTD13	KCTD13_3_gene	KIF22	-0.892	7.46	0.00693	0.944
rs12716973	KCTD13	KCTD13_3_gene	MAZ	-0.129	7.4	0.669	0.998
rs12716973	KCTD13	KCTD13_3_gene	CDIPT	-0.0919	6.8	0.827	0.998
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.0696	7.47	0.817	0.998
rs12716973	KCTD13	KCTD13_3_gene	HIRIP3	-0.419	7.06	0.261	0.968
rs12716973	KCTD13	KCTD13_3_gene	ALDOA	0.446	6.64	0.37	0.986
rs12716973	KCTD13	KCTD13_3_gene	PPP4C	0.0609	8.02	0.776	0.998
rs12716973	KCTD13	KCTD13_3_gene	MAPK3	0.0345	6.73	0.937	0.998
rs12716973	KCTD13	KCTD13_3_gene	CORO1A	0.289	6.5	0.547	0.998
rs12716973	KCTD13	KCTD13_3_gene	CD2BP2	0.0608	7.09	0.855	0.998
rs12716973	KCTD13	KCTD13_3_gene	TBC1D10B	1.1	6.5	0.0562	0.944
rs12716973	KCTD13	KCTD13_3_gene	ZNF771	-0.0565	6.71	0.883	0.998
rs12716973	KCTD13	KCTD13_3_gene	DCTPP1	0.338	7.54	0.368	0.986
rs12716973	KCTD13	KCTD13_3_gene	SEPHS2	0.717	6.82	0.173	0.945
rs12716973	KCTD13	KCTD13_3_gene	ZNF768	-0.524	6.63	0.21	0.965
rs12716973	KCTD13	KCTD13_3_gene	ZNF689	-0.0769	6.73	0.864	0.998
rs12716973	KCTD13	KCTD13_3_gene	PRR14	0.0728	6.8	0.86	0.998
rs12716973	KCTD13	KCTD13_3_gene	PHKG2	0.13	6.65	0.804	0.998
rs12716973	KCTD13	KCTD13_3_gene	RNF40	0.419	6.86	0.342	0.986
rs12716973	KCTD13	KCTD13_3_gene	ZNF629	-0.264	6.49	0.528	0.997
rs12716973	KCTD13	KCTD13_3_gene	BCL7C	0.424	7.34	0.247	0.968
rs2192932	KMT2E	KMT2E_1_gene	ORC5	0.297	6.65	0.594	0.998
rs2192932	KMT2E	KMT2E_1_gene	SRPK2	0.166	7.26	0.678	0.998
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	-0.396	7.27	0.275	0.998
rs2192932	KMT2E	KMT2E_1_gene	PUS7	0.345	6.51	0.573	0.998
rs2192932	KMT2E	KMT2E_2_gene	ORC5	0.0981	6.68	0.823	0.987
rs2192932	KMT2E	KMT2E_2_gene	SRPK2	-0.236	7.31	0.438	0.98
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.168	7.26	0.597	0.983
rs2192932	KMT2E	KMT2E_2_gene	PUS7	1.08	6.53	0.0466	0.94
rs2192932	KMT2E	KMT2E_3_gene	ORC5	0.24	6.63	0.579	0.998
rs2192932	KMT2E	KMT2E_3_gene	SRPK2	0.263	7.24	0.405	0.998
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	-0.216	7.26	0.469	0.998
rs2192932	KMT2E	KMT2E_3_gene	PUS7	0.426	6.49	0.366	0.998
rs17200916	LOC105376975	LOC105376975_1_gene	TBC1D5	0.558	6.48	0.146	0.949
rs17200916	LOC105376975	LOC105376975_2_gene	TBC1D5	0.415	6.45	0.186	0.984
rs17200916	LOC105376975	LOC105376975_3_gene	TBC1D5	-0.31	6.5	0.68	0.992
rs1198588	miR137	miR137_1_gene	SNX7	-0.251	6.74	0.369	0.993
rs1198588	miR137	miR137_2_gene	SNX7	0.373	6.64	0.254	0.982
rs1198588	miR137	miR137_3_gene	SNX7	-0.386	6.7	0.119	0.996
rs324017	NAB2	NAB2_1_gene	NABP2	-0.261	7.49	0.217	0.983
rs324017	NAB2	NAB2_1_gene	BAZ2A	-0.00665	6.82	0.983	0.999
rs324017	NAB2	NAB2_1_gene	LRP1	0.199	6.54	0.546	0.983
rs324017	NAB2	NAB2_1_gene	DCTN2	0.152	8.12	0.317	0.983
rs324017	NAB2	NAB2_1_gene	TSFM	-0.272	6.87	0.303	0.983
rs324017	NAB2	NAB2_1_gene	PA2G4	0.0632	8.61	0.673	0.986
rs324017	NAB2	NAB2_1_gene	RPL41	-0.0925	13.3	0.269	0.983
rs324017	NAB2	NAB2_1_gene	ESYT1	-0.276	6.67	0.362	0.983
rs324017	NAB2	NAB2_1_gene	MYL6B	-0.18	8.04	0.256	0.983
rs324017	NAB2	NAB2_1_gene	MYL6	-0.0575	10.8	0.597	0.983
rs324017	NAB2	NAB2_1_gene	SMARCC2	-0.428	6.9	0.111	0.983
rs324017	NAB2	NAB2_1_gene	RNF41	-0.0438	6.73	0.87	0.995
rs324017	NAB2	NAB2_1_gene	COQ10A	0.0785	6.59	0.792	0.991
rs324017	NAB2	NAB2_1_gene	CS	0.218	7.11	0.384	0.983
rs324017	NAB2	NAB2_1_gene	CNPY2	-0.139	8.08	0.367	0.983
rs324017	NAB2	NAB2_1_gene	TIMELESS	0.119	6.77	0.693	0.986
rs324017	NAB2	NAB2_1_gene	MIP	0.0069	6.53	0.997	0.999
rs324017	NAB2	NAB2_1_gene	SPRYD4	0.391	6.62	0.213	0.983
rs324017	NAB2	NAB2_1_gene	PTGES3	0.264	9.26	0.0291	0.983
rs324017	NAB2	NAB2_1_gene	NACA	-0.0576	11.4	0.446	0.983
rs324017	NAB2	NAB2_1_gene	PRIM1	0.0909	6.61	0.803	0.993
rs324017	NAB2	NAB2_1_gene	NAB2	0.848	6.7	0.0186	0.983
rs324017	NAB2	NAB2_1_gene	SHMT2	0.111	7.49	0.673	0.986
rs324017	NAB2	NAB2_1_gene	MARS	0.392	7.17	0.145	0.983
rs324017	NAB2	NAB2_1_gene	DDIT3	-0.43	7.24	0.233	0.983
rs324017	NAB2	NAB2_1_gene	DTX3	-0.343	6.6	0.285	0.983
rs324017	NAB2	NAB2_1_gene	OS9	-0.176	7.19	0.522	0.983
rs324017	NAB2	NAB2_1_gene	CDK4	0.045	8.8	0.745	0.991
rs324017	NAB2	NAB2_1_gene	METTL1	0.444	6.6	0.212	0.983
rs324017	NAB2	NAB2_1_gene	CTDSP2	-0.182	6.76	0.528	0.983
rs324017	NAB2	NAB2_2_gene	NABP2	-0.135	7.44	0.59	0.993
rs324017	NAB2	NAB2_2_gene	BAZ2A	0.0962	6.78	0.752	0.993
rs324017	NAB2	NAB2_2_gene	LRP1	-0.132	6.51	0.718	0.993
rs324017	NAB2	NAB2_2_gene	DCTN2	-0.169	8.16	0.351	0.972
rs324017	NAB2	NAB2_2_gene	TSFM	0.255	6.79	0.422	0.983
rs324017	NAB2	NAB2_2_gene	PA2G4	-0.162	8.63	0.344	0.972
rs324017	NAB2	NAB2_2_gene	RPL41	-0.0244	13.3	0.817	0.993
rs324017	NAB2	NAB2_2_gene	ESYT1	0.0894	6.61	0.837	0.993
rs324017	NAB2	NAB2_2_gene	MYL6B	-0.224	8.02	0.223	0.96
rs324017	NAB2	NAB2_2_gene	MYL6	-0.158	10.8	0.252	0.963
rs324017	NAB2	NAB2_2_gene	SMARCC2	0.324	6.8	0.332	0.972
rs324017	NAB2	NAB2_2_gene	RNF41	0.367	6.67	0.315	0.969
rs324017	NAB2	NAB2_2_gene	COQ10A	0.518	6.53	0.173	0.948
rs324017	NAB2	NAB2_2_gene	CS	-0.457	7.16	0.0754	0.874
rs324017	NAB2	NAB2_2_gene	CNPY2	-0.101	8.05	0.576	0.993
rs324017	NAB2	NAB2_2_gene	TIMELESS	-0.0114	6.74	0.966	0.997
rs324017	NAB2	NAB2_2_gene	MIP	-0.167	6.49	0.622	0.993
rs324017	NAB2	NAB2_2_gene	SPRYD4	0.575	6.57	0.12	0.935
rs324017	NAB2	NAB2_2_gene	PTGES3	0.169	9.28	0.201	0.953
rs324017	NAB2	NAB2_2_gene	NACA	0.0405	11.4	0.667	0.993
rs324017	NAB2	NAB2_2_gene	PRIM1	0.678	6.55	0.102	0.923
rs324017	NAB2	NAB2_2_gene	NAB2	0.311	6.7	0.406	0.983
rs324017	NAB2	NAB2_2_gene	SHMT2	-0.0256	7.49	0.924	0.994
rs324017	NAB2	NAB2_2_gene	MARS	0.0289	7.18	0.919	0.993
rs324017	NAB2	NAB2_2_gene	DDIT3	-0.639	7.22	0.0904	0.905
rs324017	NAB2	NAB2_2_gene	DTX3	-0.309	6.55	0.383	0.979
rs324017	NAB2	NAB2_2_gene	OS9	-0.118	7.15	0.69	0.993
rs324017	NAB2	NAB2_2_gene	CDK4	0.211	8.76	0.213	0.953
rs324017	NAB2	NAB2_2_gene	METTL1	0.172	6.57	0.644	0.993
rs324017	NAB2	NAB2_2_gene	CTDSP2	-0.102	6.71	0.748	0.993
rs324017	NAB2	NAB2_3_gene	NABP2	0.306	7.41	0.257	0.997
rs324017	NAB2	NAB2_3_gene	BAZ2A	-0.191	6.82	0.542	0.997
rs324017	NAB2	NAB2_3_gene	LRP1	0.998	6.51	0.0239	0.997
rs324017	NAB2	NAB2_3_gene	DCTN2	-0.189	8.17	0.28	0.997
rs324017	NAB2	NAB2_3_gene	TSFM	-0.404	6.86	0.18	0.997
rs324017	NAB2	NAB2_3_gene	PA2G4	-0.264	8.66	0.112	0.997
rs324017	NAB2	NAB2_3_gene	RPL41	-0.13	13.3	0.179	0.997
rs324017	NAB2	NAB2_3_gene	ESYT1	-0.183	6.65	0.594	0.997
rs324017	NAB2	NAB2_3_gene	MYL6B	-0.339	8.04	0.0605	0.997
rs324017	NAB2	NAB2_3_gene	MYL6	-0.0188	10.7	0.88	0.997
rs324017	NAB2	NAB2_3_gene	SMARCC2	-0.212	6.86	0.491	0.997
rs324017	NAB2	NAB2_3_gene	RNF41	0.000229	6.72	0.995	1
rs324017	NAB2	NAB2_3_gene	COQ10A	-0.144	6.59	0.68	0.997
rs324017	NAB2	NAB2_3_gene	CS	0.152	7.11	0.597	0.997
rs324017	NAB2	NAB2_3_gene	CNPY2	-0.0657	8.06	0.716	0.997
rs324017	NAB2	NAB2_3_gene	TIMELESS	-0.162	6.78	0.627	0.997
rs324017	NAB2	NAB2_3_gene	MIP	-0.0121	6.51	0.978	0.997
rs324017	NAB2	NAB2_3_gene	SPRYD4	0.243	6.62	0.505	0.997
rs324017	NAB2	NAB2_3_gene	PTGES3	0.0282	9.3	0.826	0.997
rs324017	NAB2	NAB2_3_gene	NACA	-0.0469	11.4	0.603	0.997
rs324017	NAB2	NAB2_3_gene	PRIM1	0.365	6.58	0.372	0.997
rs324017	NAB2	NAB2_3_gene	NAB2	-0.102	6.74	0.77	0.997
rs324017	NAB2	NAB2_3_gene	SHMT2	-0.32	7.54	0.262	0.997
rs324017	NAB2	NAB2_3_gene	MARS	-0.556	7.26	0.0415	0.997
rs324017	NAB2	NAB2_3_gene	DDIT3	0.175	7.15	0.666	0.997
rs324017	NAB2	NAB2_3_gene	DTX3	-0.00791	6.56	0.98	0.997
rs324017	NAB2	NAB2_3_gene	OS9	-0.403	7.2	0.195	0.997
rs324017	NAB2	NAB2_3_gene	CDK4	0.189	8.77	0.244	0.997
rs324017	NAB2	NAB2_3_gene	METTL1	-0.404	6.63	0.243	0.997
rs324017	NAB2	NAB2_3_gene	CTDSP2	0.0346	6.73	0.92	0.997
rs301791	RERE	RERE_1_gene	CAMTA1	-0.0745	8.24	0.599	0.986
rs301791	RERE	RERE_1_gene	RERE	0.344	6.91	0.212	0.986
rs301791	RERE	RERE_1_gene	VAMP3	0.00182	6.86	0.985	0.998
rs301791	RERE	RERE_1_gene	PARK7	0.154	9.34	0.13	0.986
rs301791	RERE	RERE_1_gene	ERRFI1	0.1	6.73	0.727	0.986
rs301791	RERE	RERE_1_gene	ENO1	0.169	10.4	0.101	0.986
rs301791	RERE	RERE_2_gene	CAMTA1	-0.0847	8.23	0.548	0.999
rs301791	RERE	RERE_2_gene	RERE	0.277	6.9	0.311	0.999
rs301791	RERE	RERE_2_gene	VAMP3	-0.0484	6.85	0.851	0.999
rs301791	RERE	RERE_2_gene	PARK7	0.0733	9.36	0.473	0.999
rs301791	RERE	RERE_2_gene	ERRFI1	0.288	6.7	0.334	0.999
rs301791	RERE	RERE_2_gene	ENO1	0.0225	10.4	0.839	0.999
rs301791	RERE	RERE_3_gene	CAMTA1	-0.0826	8.21	0.625	0.998
rs301791	RERE	RERE_3_gene	RERE	-0.0207	6.91	0.957	0.998
rs301791	RERE	RERE_3_gene	VAMP3	-0.179	6.84	0.582	0.998
rs301791	RERE	RERE_3_gene	PARK7	-0.0489	9.37	0.697	0.998
rs301791	RERE	RERE_3_gene	ERRFI1	0.824	6.67	0.054	0.998
rs301791	RERE	RERE_3_gene	ENO1	0.0389	10.4	0.771	0.998
rs324015	STAT6	STAT6_1_gene	NABP2	0.227	7.41	0.385	0.997
rs324015	STAT6	STAT6_1_gene	BAZ2A	0.481	6.76	0.156	0.997
rs324015	STAT6	STAT6_1_gene	LRP1	0.29	6.51	0.443	0.997
rs324015	STAT6	STAT6_1_gene	DCTN2	-0.00354	8.13	0.981	0.999
rs324015	STAT6	STAT6_1_gene	TSFM	-0.222	6.83	0.444	0.997
rs324015	STAT6	STAT6_1_gene	PA2G4	-0.207	8.64	0.206	0.997
rs324015	STAT6	STAT6_1_gene	RPL41	-0.0154	13.3	0.871	0.997
rs324015	STAT6	STAT6_1_gene	ESYT1	-0.255	6.64	0.438	0.997
rs324015	STAT6	STAT6_1_gene	MYL6B	-0.0119	7.99	0.943	0.998
rs324015	STAT6	STAT6_1_gene	MYL6	-0.0463	10.8	0.722	0.997
rs324015	STAT6	STAT6_1_gene	SMARCC2	0.08	6.83	0.798	0.997
rs324015	STAT6	STAT6_1_gene	RNF41	0.275	6.69	0.457	0.997
rs324015	STAT6	STAT6_1_gene	COQ10A	0.623	6.54	0.106	0.997
rs324015	STAT6	STAT6_1_gene	CS	0.377	7.09	0.212	0.997
rs324015	STAT6	STAT6_1_gene	CNPY2	0.0174	8.04	0.922	0.998
rs324015	STAT6	STAT6_1_gene	TIMELESS	0.495	6.72	0.168	0.997
rs324015	STAT6	STAT6_1_gene	MIP	0.279	6.48	0.45	0.997
rs324015	STAT6	STAT6_1_gene	SPRYD4	-0.236	6.62	0.5	0.997
rs324015	STAT6	STAT6_1_gene	PTGES3	0.00734	9.3	0.95	0.998
rs324015	STAT6	STAT6_1_gene	NACA	-0.0964	11.4	0.29	0.997
rs324015	STAT6	STAT6_1_gene	PRIM1	-0.121	6.59	0.722	0.997
rs324015	STAT6	STAT6_1_gene	NAB2	0.431	6.7	0.259	0.997
rs324015	STAT6	STAT6_1_gene	SHMT2	0.18	7.47	0.533	0.997
rs324015	STAT6	STAT6_1_gene	MARS	0.0734	7.18	0.801	0.997
rs324015	STAT6	STAT6_1_gene	DDIT3	-0.161	7.17	0.679	0.997
rs324015	STAT6	STAT6_1_gene	DTX3	-0.188	6.55	0.59	0.997
