locus_SNP	locus	gRNA	cisGene	logFC	logCPM	empiricalP	empiricalFDR
rs520843	GALNT10	GALNT10_1_gene	LARP1	-0.0138	7.34	0.943	0.997
rs520843	GALNT10	GALNT10_1_gene	FAM114A2	0.503	6.51	0.147	0.997
rs520843	GALNT10	GALNT10_2_gene	LARP1	-0.164	7.36	0.415	0.998
rs520843	GALNT10	GALNT10_2_gene	FAM114A2	0.488	6.5	0.158	0.998
rs520843	GALNT10	GALNT10_3_gene	LARP1	-0.157	7.36	0.403	0.997
rs520843	GALNT10	GALNT10_3_gene	FAM114A2	-0.152	6.53	0.583	0.997
rs12716973	KCTD13	KCTD13_1_gene	ZNF48	-0.781	6.71	0.00861	0.801
rs12716973	KCTD13	KCTD13_1_gene	INO80E	0.401	6.96	0.182	0.985
rs12716973	KCTD13	KCTD13_1_gene	QPRT	0.561	6.85	0.144	0.985
rs12716973	KCTD13	KCTD13_1_gene	MAZ	-0.121	7.41	0.59	0.988
rs12716973	KCTD13	KCTD13_1_gene	KIF22	0.0844	7.38	0.761	0.991
rs12716973	KCTD13	KCTD13_1_gene	CDIPT	-0.0261	6.8	0.926	0.995
rs12716973	KCTD13	KCTD13_1_gene	HIRIP3	-0.303	7.07	0.286	0.985
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.425	7.43	0.0721	0.985
rs12716973	KCTD13	KCTD13_1_gene	ALDOA	-0.0695	6.68	0.833	0.995
rs12716973	KCTD13	KCTD13_1_gene	PPP4C	0.0119	8.03	0.94	0.995
rs12716973	KCTD13	KCTD13_1_gene	MAPK3	0.139	6.74	0.667	0.991
rs12716973	KCTD13	KCTD13_1_gene	CORO1A	-0.15	6.52	0.65	0.988
rs12716973	KCTD13	KCTD13_1_gene	TBC1D10B	0.52	6.51	0.167	0.985
rs12716973	KCTD13	KCTD13_1_gene	CD2BP2	-0.0995	7.12	0.69	0.991
rs12716973	KCTD13	KCTD13_1_gene	DCTPP1	0.212	7.54	0.425	0.985
rs12716973	KCTD13	KCTD13_1_gene	ZNF771	0.4	6.7	0.254	0.985
rs12716973	KCTD13	KCTD13_2_gene	ZNF48	-0.359	6.67	0.261	1
rs12716973	KCTD13	KCTD13_2_gene	INO80E	0.214	6.97	0.459	1
rs12716973	KCTD13	KCTD13_2_gene	QPRT	0.857	6.83	0.0345	1
rs12716973	KCTD13	KCTD13_2_gene	MAZ	0.0944	7.39	0.681	1
rs12716973	KCTD13	KCTD13_2_gene	KIF22	0.0552	7.38	0.829	1
rs12716973	KCTD13	KCTD13_2_gene	CDIPT	0.361	6.78	0.257	1
rs12716973	KCTD13	KCTD13_2_gene	HIRIP3	0.403	7	0.202	1
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.468	7.42	0.0506	1
rs12716973	KCTD13	KCTD13_2_gene	ALDOA	0.196	6.66	0.551	1
rs12716973	KCTD13	KCTD13_2_gene	PPP4C	-0.195	8.06	0.207	1
rs12716973	KCTD13	KCTD13_2_gene	MAPK3	0.138	6.73	0.673	1
rs12716973	KCTD13	KCTD13_2_gene	CORO1A	0.356	6.5	0.364	1
rs12716973	KCTD13	KCTD13_2_gene	TBC1D10B	0.482	6.51	0.193	1
rs12716973	KCTD13	KCTD13_2_gene	CD2BP2	0.111	7.09	0.67	1
rs12716973	KCTD13	KCTD13_2_gene	DCTPP1	0.174	7.54	0.514	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF771	-0.496	6.76	0.0947	1
rs12716973	KCTD13	KCTD13_3_gene	ZNF48	-0.643	6.66	0.104	0.944
rs12716973	KCTD13	KCTD13_3_gene	INO80E	0.0468	6.97	0.909	0.998
rs12716973	KCTD13	KCTD13_3_gene	QPRT	-0.157	6.88	0.757	0.998
rs12716973	KCTD13	KCTD13_3_gene	MAZ	-0.129	7.4	0.669	0.998
rs12716973	KCTD13	KCTD13_3_gene	KIF22	-0.892	7.46	0.00693	0.944
rs12716973	KCTD13	KCTD13_3_gene	CDIPT	-0.0919	6.8	0.827	0.998
rs12716973	KCTD13	KCTD13_3_gene	HIRIP3	-0.419	7.06	0.261	0.968
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.0696	7.47	0.817	0.998
rs12716973	KCTD13	KCTD13_3_gene	ALDOA	0.446	6.64	0.37	0.986
rs12716973	KCTD13	KCTD13_3_gene	PPP4C	0.0609	8.02	0.776	0.998
rs12716973	KCTD13	KCTD13_3_gene	MAPK3	0.0345	6.73	0.937	0.998
rs12716973	KCTD13	KCTD13_3_gene	CORO1A	0.289	6.5	0.547	0.998
rs12716973	KCTD13	KCTD13_3_gene	TBC1D10B	1.1	6.5	0.0562	0.944
rs12716973	KCTD13	KCTD13_3_gene	CD2BP2	0.0608	7.09	0.855	0.998
rs12716973	KCTD13	KCTD13_3_gene	DCTPP1	0.338	7.54	0.368	0.986
rs12716973	KCTD13	KCTD13_3_gene	ZNF771	-0.0565	6.71	0.883	0.998
rs2192932	KMT2E	KMT2E_1_gene	SRPK2	0.166	7.26	0.678	0.998
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	-0.396	7.27	0.275	0.998
rs2192932	KMT2E	KMT2E_1_gene	PUS7	0.345	6.51	0.573	0.998
rs2192932	KMT2E	KMT2E_2_gene	SRPK2	-0.236	7.31	0.438	0.98
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.168	7.26	0.597	0.983
rs2192932	KMT2E	KMT2E_2_gene	PUS7	1.08	6.53	0.0466	0.94
rs2192932	KMT2E	KMT2E_3_gene	SRPK2	0.263	7.24	0.405	0.998
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	-0.216	7.26	0.469	0.998
rs2192932	KMT2E	KMT2E_3_gene	PUS7	0.426	6.49	0.366	0.998
rs17200916	LOC105376975	LOC105376975_1_gene	TBC1D5	0.558	6.48	0.146	0.949
rs17200916	LOC105376975	LOC105376975_2_gene	TBC1D5	0.415	6.45	0.186	0.984
rs17200916	LOC105376975	LOC105376975_3_gene	TBC1D5	-0.31	6.5	0.68	0.992
rs324017	NAB2	NAB2_1_gene	BAZ2A	-0.00665	6.82	0.983	0.999
rs324017	NAB2	NAB2_1_gene	LRP1	0.199	6.54	0.546	0.983
rs324017	NAB2	NAB2_1_gene	DCTN2	0.152	8.12	0.317	0.983
rs324017	NAB2	NAB2_1_gene	PTGES3	0.264	9.26	0.0291	0.983
rs324017	NAB2	NAB2_1_gene	NACA	-0.0576	11.4	0.446	0.983
rs324017	NAB2	NAB2_1_gene	PRIM1	0.0909	6.61	0.803	0.993
rs324017	NAB2	NAB2_1_gene	NAB2	0.848	6.7	0.0186	0.983
rs324017	NAB2	NAB2_1_gene	SHMT2	0.111	7.49	0.673	0.986
rs324017	NAB2	NAB2_1_gene	DDIT3	-0.43	7.24	0.233	0.983
rs324017	NAB2	NAB2_1_gene	MARS	0.392	7.17	0.145	0.983
rs324017	NAB2	NAB2_2_gene	BAZ2A	0.0962	6.78	0.752	0.993
rs324017	NAB2	NAB2_2_gene	LRP1	-0.132	6.51	0.718	0.993
rs324017	NAB2	NAB2_2_gene	DCTN2	-0.169	8.16	0.351	0.972
rs324017	NAB2	NAB2_2_gene	PTGES3	0.169	9.28	0.201	0.953
rs324017	NAB2	NAB2_2_gene	NACA	0.0405	11.4	0.667	0.993
rs324017	NAB2	NAB2_2_gene	PRIM1	0.678	6.55	0.102	0.923
rs324017	NAB2	NAB2_2_gene	NAB2	0.311	6.7	0.406	0.983
rs324017	NAB2	NAB2_2_gene	SHMT2	-0.0256	7.49	0.924	0.994
rs324017	NAB2	NAB2_2_gene	DDIT3	-0.639	7.22	0.0904	0.905
rs324017	NAB2	NAB2_2_gene	MARS	0.0289	7.18	0.919	0.993
rs324017	NAB2	NAB2_3_gene	BAZ2A	-0.191	6.82	0.542	0.997
rs324017	NAB2	NAB2_3_gene	LRP1	0.998	6.51	0.0239	0.997
rs324017	NAB2	NAB2_3_gene	DCTN2	-0.189	8.17	0.28	0.997
rs324017	NAB2	NAB2_3_gene	PTGES3	0.0282	9.3	0.826	0.997
rs324017	NAB2	NAB2_3_gene	NACA	-0.0469	11.4	0.603	0.997
rs324017	NAB2	NAB2_3_gene	PRIM1	0.365	6.58	0.372	0.997
rs324017	NAB2	NAB2_3_gene	NAB2	-0.102	6.74	0.77	0.997
rs324017	NAB2	NAB2_3_gene	SHMT2	-0.32	7.54	0.262	0.997
rs324017	NAB2	NAB2_3_gene	DDIT3	0.175	7.15	0.666	0.997
rs324017	NAB2	NAB2_3_gene	MARS	-0.556	7.26	0.0415	0.997
rs301791	RERE	RERE_1_gene	RERE	0.344	6.91	0.212	0.986
rs301791	RERE	RERE_1_gene	PARK7	0.154	9.34	0.13	0.986
rs301791	RERE	RERE_1_gene	ERRFI1	0.1	6.73	0.727	0.986
rs301791	RERE	RERE_1_gene	ENO1	0.169	10.4	0.101	0.986
rs301791	RERE	RERE_2_gene	RERE	0.277	6.9	0.311	0.999
rs301791	RERE	RERE_2_gene	PARK7	0.0733	9.36	0.473	0.999
rs301791	RERE	RERE_2_gene	ERRFI1	0.288	6.7	0.334	0.999
rs301791	RERE	RERE_2_gene	ENO1	0.0225	10.4	0.839	0.999
rs301791	RERE	RERE_3_gene	RERE	-0.0207	6.91	0.957	0.998
rs301791	RERE	RERE_3_gene	PARK7	-0.0489	9.37	0.697	0.998
rs301791	RERE	RERE_3_gene	ERRFI1	0.824	6.67	0.054	0.998
rs301791	RERE	RERE_3_gene	ENO1	0.0389	10.4	0.771	0.998
rs324015	STAT6	STAT6_1_gene	BAZ2A	0.481	6.76	0.156	0.997
rs324015	STAT6	STAT6_1_gene	LRP1	0.29	6.51	0.443	0.997
rs324015	STAT6	STAT6_1_gene	DCTN2	-0.00354	8.13	0.981	0.999
rs324015	STAT6	STAT6_1_gene	PTGES3	0.00734	9.3	0.95	0.998
rs324015	STAT6	STAT6_1_gene	NACA	-0.0964	11.4	0.29	0.997
rs324015	STAT6	STAT6_1_gene	PRIM1	-0.121	6.59	0.722	0.997
rs324015	STAT6	STAT6_1_gene	NAB2	0.431	6.7	0.259	0.997
rs324015	STAT6	STAT6_1_gene	SHMT2	0.18	7.47	0.533	0.997
rs324015	STAT6	STAT6_1_gene	DDIT3	-0.161	7.17	0.679	0.997
rs324015	STAT6	STAT6_1_gene	MARS	0.0734	7.18	0.801	0.997
rs324015	STAT6	STAT6_2_gene	BAZ2A	0.102	6.81	0.712	0.997
rs324015	STAT6	STAT6_2_gene	LRP1	-0.287	6.57	0.362	0.991
rs324015	STAT6	STAT6_2_gene	DCTN2	-0.00132	8.15	0.992	0.999
rs324015	STAT6	STAT6_2_gene	PTGES3	-0.0685	9.33	0.549	0.997
rs324015	STAT6	STAT6_2_gene	NACA	0.0268	11.4	0.722	0.997
rs324015	STAT6	STAT6_2_gene	PRIM1	0.161	6.6	0.632	0.997
rs324015	STAT6	STAT6_2_gene	NAB2	0.261	6.73	0.421	0.997
rs324015	STAT6	STAT6_2_gene	SHMT2	-0.108	7.53	0.676	0.997
rs324015	STAT6	STAT6_2_gene	DDIT3	-0.303	7.22	0.387	0.997
rs324015	STAT6	STAT6_2_gene	MARS	0.0962	7.2	0.71	0.997
rs324015	STAT6	STAT6_3_gene	BAZ2A	0.0433	6.8	0.85	0.995
rs324015	STAT6	STAT6_3_gene	LRP1	0.445	6.51	0.134	0.995
rs324015	STAT6	STAT6_3_gene	DCTN2	0.0399	8.13	0.763	0.995
rs324015	STAT6	STAT6_3_gene	PTGES3	0.102	9.28	0.296	0.995
rs324015	STAT6	STAT6_3_gene	NACA	0.0141	11.4	0.832	0.995
rs324015	STAT6	STAT6_3_gene	PRIM1	-0.0213	6.6	0.938	0.998
rs324015	STAT6	STAT6_3_gene	NAB2	0.531	6.69	0.0666	0.995
rs324015	STAT6	STAT6_3_gene	SHMT2	-0.0392	7.51	0.851	0.995
rs324015	STAT6	STAT6_3_gene	DDIT3	0.585	7.09	0.0739	0.995
rs324015	STAT6	STAT6_3_gene	MARS	-0.191	7.24	0.368	0.995
rs9882911	TRANK1	TRANK1_1_gene	GOLGA4	-0.0804	6.97	0.916	0.999
rs9882911	TRANK1	TRANK1_1_gene	MLH1	0.155	6.95	0.857	0.999
rs9882911	TRANK1	TRANK1_1_gene	EPM2AIP1	-0.187	6.64	0.841	0.999
rs9882911	TRANK1	TRANK1_1_gene	LRRFIP2	1.05	6.78	0.366	0.999
rs9882911	TRANK1	TRANK1_2_gene	GOLGA4	0.216	6.94	0.538	1
rs9882911	TRANK1	TRANK1_2_gene	MLH1	0.244	6.92	0.469	1
rs9882911	TRANK1	TRANK1_2_gene	EPM2AIP1	0.365	6.6	0.392	1
rs9882911	TRANK1	TRANK1_2_gene	LRRFIP2	0.801	6.73	0.06	1
rs9882911	TRANK1	TRANK1_3_gene	GOLGA4	-0.0341	6.93	0.865	1
rs9882911	TRANK1	TRANK1_3_gene	MLH1	-0.215	6.95	0.271	1
rs9882911	TRANK1	TRANK1_3_gene	EPM2AIP1	-0.182	6.61	0.467	1
rs9882911	TRANK1	TRANK1_3_gene	LRRFIP2	-0.212	6.77	0.357	1
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	WDR73	0.251	7.16	0.482	0.95
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	ZSCAN2	-0.729	6.56	0.11	0.849
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	SEC11A	-0.188	9.16	0.293	0.904
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	WDR73	0.247	7.19	0.564	0.98
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	ZSCAN2	0.307	6.57	0.658	0.982
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	SEC11A	0.23	9.15	0.329	0.957
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	WDR73	-0.254	7.21	0.457	0.997
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	ZSCAN2	1.48	6.54	0.0336	0.997
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	SEC11A	0.392	9.13	0.0577	0.997
rs2027349	VPS45	VPS45_1_gene	VPS45	0.227	6.69	0.64	0.945
rs2027349	VPS45	VPS45_1_gene	RPRD2	-0.279	6.55	0.539	0.922
rs2027349	VPS45	VPS45_1_gene	SF3B4	0.116	7.67	0.675	0.957
rs2027349	VPS45	VPS45_1_gene	PLEKHO1	0.0721	7.31	0.845	0.99
rs2027349	VPS45	VPS45_1_gene	ANP32E	0.999	7.63	0.0143	0.477
rs2027349	VPS45	VPS45_1_gene	APH1A	-0.181	7.53	0.511	0.918
rs2027349	VPS45	VPS45_1_gene	MRPS21	0.0646	8.82	0.756	0.972
rs2027349	VPS45	VPS45_1_gene	PRPF3	-0.344	6.61	0.438	0.891
rs2027349	VPS45	VPS45_2_gene	VPS45	0.693	6.64	0.0078	0.999
rs2027349	VPS45	VPS45_2_gene	RPRD2	-0.097	6.56	0.685	0.999
rs2027349	VPS45	VPS45_2_gene	SF3B4	0.0212	7.69	0.865	0.999
rs2027349	VPS45	VPS45_2_gene	PLEKHO1	-0.0441	7.33	0.813	0.999
rs2027349	VPS45	VPS45_2_gene	ANP32E	0.109	7.66	0.53	0.999
rs2027349	VPS45	VPS45_2_gene	APH1A	-0.0229	7.53	0.864	0.999
rs2027349	VPS45	VPS45_2_gene	MRPS21	0.052	8.81	0.615	0.999
rs2027349	VPS45	VPS45_2_gene	PRPF3	-0.119	6.62	0.602	0.999
rs2027349	VPS45	VPS45_3_gene	VPS45	1.17	6.7	0.0888	0.879
rs2027349	VPS45	VPS45_3_gene	RPRD2	0.587	6.54	0.407	0.953
rs2027349	VPS45	VPS45_3_gene	SF3B4	1.31	7.65	0.00267	0.74
rs2027349	VPS45	VPS45_3_gene	PLEKHO1	0.0197	7.32	0.96	0.993
rs2027349	VPS45	VPS45_3_gene	ANP32E	0.338	7.68	0.435	0.957
rs2027349	VPS45	VPS45_3_gene	APH1A	-0.26	7.55	0.438	0.957
rs2027349	VPS45	VPS45_3_gene	MRPS21	0.0745	8.83	0.768	0.983
rs2027349	VPS45	VPS45_3_gene	PRPF3	0.386	6.61	0.519	0.964
rs186132169	NGEF	NGEF_1_gene	EIF4E2	0.13	7.57	0.706	0.997
rs186132169	NGEF	NGEF_1_gene	GIGYF2	-0.596	6.86	0.165	0.997
rs186132169	NGEF	NGEF_2_gene	EIF4E2	0.322	7.57	0.663	0.979
rs186132169	NGEF	NGEF_2_gene	GIGYF2	-1.13	6.85	0.191	0.979
rs3861678	LINC00637	LINC00637_1_gene	MARK3	-0.049	6.94	0.842	0.995
rs3861678	LINC00637	LINC00637_1_gene	TRMT61A	-0.439	6.64	0.0928	0.962
rs3861678	LINC00637	LINC00637_1_gene	BAG5	-0.265	6.6	0.354	0.969
rs3861678	LINC00637	LINC00637_1_gene	APOPT1	-0.322	7.28	0.101	0.962
rs3861678	LINC00637	LINC00637_1_gene	CKB	-0.033	10.9	0.818	0.994
rs3861678	LINC00637	LINC00637_1_gene	ZFYVE21	-0.271	6.81	0.283	0.969
rs3861678	LINC00637	LINC00637_1_gene	KLC1	0.0048	7.29	0.976	0.997
rs3861678	LINC00637	LINC00637_2_gene	MARK3	-0.27	6.96	0.324	0.999
rs3861678	LINC00637	LINC00637_2_gene	TRMT61A	-0.606	6.65	0.0506	0.999
rs3861678	LINC00637	LINC00637_2_gene	BAG5	0.134	6.58	0.7	0.999
rs3861678	LINC00637	LINC00637_2_gene	APOPT1	0.0151	7.23	0.948	0.999
rs3861678	LINC00637	LINC00637_2_gene	CKB	-0.0773	10.9	0.646	0.999
rs3861678	LINC00637	LINC00637_2_gene	ZFYVE21	-0.0665	6.8	0.823	0.999
rs3861678	LINC00637	LINC00637_2_gene	KLC1	0.29	7.26	0.227	0.999
rs3861678	LINC00637	LINC00637_3_gene	MARK3	-0.263	6.95	0.225	0.965
rs3861678	LINC00637	LINC00637_3_gene	TRMT61A	-0.481	6.63	0.0592	0.965
rs3861678	LINC00637	LINC00637_3_gene	BAG5	0.00582	6.56	0.993	0.999
rs3861678	LINC00637	LINC00637_3_gene	APOPT1	-0.0236	7.21	0.896	0.995
rs3861678	LINC00637	LINC00637_3_gene	CKB	0.41	10.7	0.00385	0.725
rs3861678	LINC00637	LINC00637_3_gene	ZFYVE21	-0.243	6.79	0.312	0.979
rs3861678	LINC00637	LINC00637_3_gene	KLC1	-0.125	7.29	0.502	0.985
rs10933	PBRM1	PBRM1_1_gene	WDR82	0.478	6.91	0.535	0.987
rs10933	PBRM1	PBRM1_1_gene	PBRM1	1.7	6.88	0.128	0.981
rs10933	PBRM1	PBRM1_1_gene	NT5DC2	-0.261	7.32	0.669	0.987
rs10933	PBRM1	PBRM1_1_gene	TWF2	-0.726	6.74	0.305	0.987
rs10933	PBRM1	PBRM1_1_gene	ALAS1	2.64	6.66	0.0236	0.863
rs10933	PBRM1	PBRM1_1_gene	NISCH	0.0711	6.61	0.932	0.999
rs10933	PBRM1	PBRM1_1_gene	BAP1	2.34	6.58	0.0568	0.91
rs10933	PBRM1	PBRM1_1_gene	SMIM4	-0.401	6.94	0.561	0.987
rs10933	PBRM1	PBRM1_1_gene	GLT8D1	0.668	6.81	0.449	0.987
rs10933	PBRM1	PBRM1_1_gene	GNL3	-0.233	7.6	0.618	0.987
rs10933	PBRM1	PBRM1_1_gene	SPCS1	-0.0351	8.36	0.926	0.999
rs10933	PBRM1	PBRM1_1_gene	RFT1	-0.306	6.65	0.703	0.987
rs10933	PBRM1	PBRM1_2_gene	WDR82	-0.436	6.92	0.251	0.997
rs10933	PBRM1	PBRM1_2_gene	PBRM1	0.864	6.85	0.0942	0.997
rs10933	PBRM1	PBRM1_2_gene	NT5DC2	0.0274	7.3	0.936	0.997
rs10933	PBRM1	PBRM1_2_gene	TWF2	-0.258	6.72	0.547	0.997
rs10933	PBRM1	PBRM1_2_gene	ALAS1	0.595	6.64	0.243	0.997
rs10933	PBRM1	PBRM1_2_gene	NISCH	-0.151	6.6	0.745	0.997
rs10933	PBRM1	PBRM1_2_gene	BAP1	1.16	6.55	0.054	0.997
rs10933	PBRM1	PBRM1_2_gene	SMIM4	-0.147	6.92	0.72	0.997
rs10933	PBRM1	PBRM1_2_gene	GLT8D1	0.225	6.79	0.627	0.997
rs10933	PBRM1	PBRM1_2_gene	GNL3	-0.0652	7.58	0.814	0.997
rs10933	PBRM1	PBRM1_2_gene	SPCS1	0.0226	8.35	0.912	0.997
rs10933	PBRM1	PBRM1_2_gene	RFT1	-0.128	6.64	0.773	0.997
rs10933	PBRM1	PBRM1_3_gene	WDR82	0.953	6.9	0.262	0.837
rs10933	PBRM1	PBRM1_3_gene	PBRM1	0.903	6.88	0.323	0.86
rs10933	PBRM1	PBRM1_3_gene	NT5DC2	1.78	7.29	0.0472	0.653
rs10933	PBRM1	PBRM1_3_gene	TWF2	1.2	6.72	0.224	0.813
rs10933	PBRM1	PBRM1_3_gene	ALAS1	0.245	6.66	0.773	0.962
rs10933	PBRM1	PBRM1_3_gene	NISCH	0.798	6.6	0.402	0.883
rs10933	PBRM1	PBRM1_3_gene	BAP1	-0.907	6.59	0.213	0.81
rs10933	PBRM1	PBRM1_3_gene	SMIM4	0.5	6.92	0.527	0.928
rs10933	PBRM1	PBRM1_3_gene	GLT8D1	-0.176	6.81	0.82	0.968
rs10933	PBRM1	PBRM1_3_gene	GNL3	1.41	7.56	0.0265	0.594
rs10933	PBRM1	PBRM1_3_gene	SPCS1	-0.0828	8.36	0.821	0.968
rs10933	PBRM1	PBRM1_3_gene	RFT1	0.93	6.64	0.33	0.861
rs6071578	PPP1R16B	PPP1R16B_1_gene	SNHG11	-0.23	6.8	0.345	0.973
rs6071578	PPP1R16B	PPP1R16B_1_gene	FAM83D	0.0287	6.53	0.927	0.996
rs6071578	PPP1R16B	PPP1R16B_2_gene	SNHG11	-0.203	6.81	0.462	0.998
rs6071578	PPP1R16B	PPP1R16B_2_gene	FAM83D	-0.453	6.58	0.194	0.998
rs6071578	PPP1R16B	PPP1R16B_3_gene	SNHG11	0.108	6.81	0.689	0.993
rs6071578	PPP1R16B	PPP1R16B_3_gene	FAM83D	1.56	6.52	0.000475	0.623
