locus_SNP	locus	gRNA	cisGene	MASTcpmdetvalue	FDR
rs7148456	BAG5	BAG5_3_gene	LINC00677	1	1
rs7148456	BAG5	BAG5_3_gene	EXOC3L4	1	1
rs7148456	BAG5	BAG5_3_gene	TRMT61A	0.485319791405948	1
rs7148456	BAG5	BAG5_3_gene	BAG5	0.350970805875561	1
rs7148456	BAG5	BAG5_3_gene	APOPT1	0.263726707391937	1
rs7148456	BAG5	BAG5_3_gene	CKB	0.85727202753871	1
rs7148456	BAG5	BAG5_3_gene	ZFYVE21	0.154974797082725	1
rs7148456	BAG5	BAG5_3_gene	KLC1	0.979967232489987	1
rs7148456	BAG5	BAG5_3_gene	XRCC3	0.334005423200635	1
rs7148456	BAG5	BAG5_3_gene	LINC00637	1	1
rs7148456	BAG5	BAG5_3_gene	RD3L	1	1
rs12895055	BCL11B	BCL11B_1_gene	HHIPL1	1	1
rs12895055	BCL11B	BCL11B_1_gene	SETD3	0.0375268711003206	1
rs12895055	BCL11B	BCL11B_1_gene	CCDC85C	0.648274176205017	1
rs12895055	BCL11B	BCL11B_1_gene	BCL11B	0.644908612355538	1
rs12895055	BCL11B	BCL11B_1_gene	CCNK	0.692214744576872	1
rs12895055	BCL11B	BCL11B_1_gene	CYP46A1	0.797285984214295	1
rs12895055	BCL11B	BCL11B_2_gene	HHIPL1	1	1
rs12895055	BCL11B	BCL11B_2_gene	SETD3	0.832235367265028	1
rs12895055	BCL11B	BCL11B_2_gene	CCDC85C	0.984056002455949	1
rs12895055	BCL11B	BCL11B_2_gene	BCL11B	0.416028954295789	1
rs12895055	BCL11B	BCL11B_2_gene	CCNK	0.292799920233627	1
rs12895055	BCL11B	BCL11B_2_gene	CYP46A1	0.412927773171355	1
rs12895055	BCL11B	BCL11B_3_gene	HHIPL1	1	1
rs12895055	BCL11B	BCL11B_3_gene	SETD3	0.0231703932051713	1
rs12895055	BCL11B	BCL11B_3_gene	CCDC85C	0.744706801500333	1
rs12895055	BCL11B	BCL11B_3_gene	BCL11B	0.644407416968147	1
rs12895055	BCL11B	BCL11B_3_gene	CCNK	0.399448101562833	1
rs12895055	BCL11B	BCL11B_3_gene	CYP46A1	0.873049691561271	1
rs7170068	CHRNA3	CHRNA3_1_gene	ACSBG1	0.542784431240345	1
rs7170068	CHRNA3	CHRNA3_1_gene	IREB2	0.633848530607295	1
rs7170068	CHRNA3	CHRNA3_1_gene	RASGRF1	1	1
rs7170068	CHRNA3	CHRNA3_1_gene	MORF4L1	0.970578795325705	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA3	0.749479414393552	1
rs7170068	CHRNA3	CHRNA3_1_gene	CIB2	0.301592113282992	1
rs7170068	CHRNA3	CHRNA3_1_gene	IDH3A	0.029592245392971	1
rs7170068	CHRNA3	CHRNA3_1_gene	DNAJA4	1	1
rs7170068	CHRNA3	CHRNA3_1_gene	WDR61	0.289017388086137	1
rs7170068	CHRNA3	CHRNA3_1_gene	CRABP1	0.148977968149197	1
rs7170068	CHRNA3	CHRNA3_1_gene	PSMA4	0.602086202024562	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNA5	0.479600707562909	1
rs7170068	CHRNA3	CHRNA3_1_gene	CHRNB4	1	1
rs7170068	CHRNA3	CHRNA3_1_gene	ADAMTS7	0.435803896743375	1
rs7170068	CHRNA3	CHRNA3_1_gene	CTSH	0.26476570921297	1
rs7170068	CHRNA3	CHRNA3_2_gene	ACSBG1	0.165184974615411	1
rs7170068	CHRNA3	CHRNA3_2_gene	IREB2	0.176220967648589	1
rs7170068	CHRNA3	CHRNA3_2_gene	RASGRF1	1	1
rs7170068	CHRNA3	CHRNA3_2_gene	MORF4L1	0.999005598660431	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA3	0.492658756914522	1
rs7170068	CHRNA3	CHRNA3_2_gene	CIB2	0.69810933444453	1
rs7170068	CHRNA3	CHRNA3_2_gene	IDH3A	0.833452058160022	1
rs7170068	CHRNA3	CHRNA3_2_gene	DNAJA4	1	1
rs7170068	CHRNA3	CHRNA3_2_gene	WDR61	0.52808670138322	1
rs7170068	CHRNA3	CHRNA3_2_gene	CRABP1	0.987900108549912	1
rs7170068	CHRNA3	CHRNA3_2_gene	PSMA4	0.682058804197384	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNA5	0.960570062383594	1
rs7170068	CHRNA3	CHRNA3_2_gene	CHRNB4	0.0782395081738826	1
rs7170068	CHRNA3	CHRNA3_2_gene	ADAMTS7	0.678281488573204	1
rs7170068	CHRNA3	CHRNA3_2_gene	CTSH	0.93461526911925	1
rs7170068	CHRNA3	CHRNA3_3_gene	ACSBG1	0.170130595119877	1
rs7170068	CHRNA3	CHRNA3_3_gene	IREB2	0.303348267893768	1
rs7170068	CHRNA3	CHRNA3_3_gene	RASGRF1	1	1
rs7170068	CHRNA3	CHRNA3_3_gene	MORF4L1	0.521068008499039	1
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNA3	0.427114595058901	1
rs7170068	CHRNA3	CHRNA3_3_gene	CIB2	0.126117096251795	1
rs7170068	CHRNA3	CHRNA3_3_gene	IDH3A	0.955561279714816	1
rs7170068	CHRNA3	CHRNA3_3_gene	DNAJA4	1	1
rs7170068	CHRNA3	CHRNA3_3_gene	WDR61	0.724222508813577	1
rs7170068	CHRNA3	CHRNA3_3_gene	CRABP1	0.37274804092691	1
rs7170068	CHRNA3	CHRNA3_3_gene	PSMA4	0.134004416911992	1
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNA5	0.297424871662727	1
rs7170068	CHRNA3	CHRNA3_3_gene	CHRNB4	1	1
rs7170068	CHRNA3	CHRNA3_3_gene	ADAMTS7	0.846599488866518	1
rs7170068	CHRNA3	CHRNA3_3_gene	CTSH	0.77873788541417	1
rs520843	GALNT10	GALNT10_1_gene	GRIA1	0.235738389749794	1
rs520843	GALNT10	GALNT10_1_gene	LARP1	0.342953104975886	1
rs520843	GALNT10	GALNT10_1_gene	GALNT10	0.497365877332602	1
rs520843	GALNT10	GALNT10_1_gene	MFAP3	0.785553874783002	1
rs520843	GALNT10	GALNT10_1_gene	FAM114A2	0.401168807916459	1
rs520843	GALNT10	GALNT10_1_gene	MIR1294	1	1
rs520843	GALNT10	GALNT10_1_gene	HAND1	1	1
rs520843	GALNT10	GALNT10_1_gene	SAP30L	0.529629000041301	1
rs520843	GALNT10	GALNT10_1_gene	MIR3141	1	1
rs520843	GALNT10	GALNT10_1_gene	MIR1303	1	1
rs520843	GALNT10	GALNT10_2_gene	GRIA1	0.668544467724814	1
rs520843	GALNT10	GALNT10_2_gene	LARP1	0.46007033571536	1
rs520843	GALNT10	GALNT10_2_gene	GALNT10	0.0677978219405955	1
rs520843	GALNT10	GALNT10_2_gene	MFAP3	0.795775894064508	1
rs520843	GALNT10	GALNT10_2_gene	FAM114A2	0.360626248083529	1
rs520843	GALNT10	GALNT10_2_gene	MIR1294	1	1
rs520843	GALNT10	GALNT10_2_gene	HAND1	1	1
rs520843	GALNT10	GALNT10_2_gene	SAP30L	0.344838069569131	1
rs520843	GALNT10	GALNT10_2_gene	MIR3141	1	1
rs520843	GALNT10	GALNT10_2_gene	MIR1303	1	1
rs520843	GALNT10	GALNT10_3_gene	GRIA1	0.00373690459526683	1
rs520843	GALNT10	GALNT10_3_gene	LARP1	0.957739130179773	1
rs520843	GALNT10	GALNT10_3_gene	GALNT10	0.0554195454535784	1
rs520843	GALNT10	GALNT10_3_gene	MFAP3	0.0485936114405301	1
rs520843	GALNT10	GALNT10_3_gene	FAM114A2	0.752295927891223	1
rs520843	GALNT10	GALNT10_3_gene	MIR1294	1	1
rs520843	GALNT10	GALNT10_3_gene	HAND1	1	1
rs520843	GALNT10	GALNT10_3_gene	SAP30L	0.0883863570804367	1
rs520843	GALNT10	GALNT10_3_gene	MIR3141	1	1
rs520843	GALNT10	GALNT10_3_gene	MIR1303	1	1
rs12716973	KCTD13	KCTD13_1_gene	ZNF48	0.0173872181961383	1
rs12716973	KCTD13	KCTD13_1_gene	INO80E	0.301514827744042	1
rs12716973	KCTD13	KCTD13_1_gene	SEZ6L2	0.933762962104257	1
rs12716973	KCTD13	KCTD13_1_gene	SLX1A-SULT1A3	1	1
rs12716973	KCTD13	KCTD13_1_gene	BOLA2B	0.997537942322832	1
rs12716973	KCTD13	KCTD13_1_gene	SLX1B	1	1
rs12716973	KCTD13	KCTD13_1_gene	BOLA2	0.241377039012928	1
rs12716973	KCTD13	KCTD13_1_gene	SULT1A3	0.996500852461381	1
rs12716973	KCTD13	KCTD13_1_gene	SLX1B-SULT1A4	1	1
rs12716973	KCTD13	KCTD13_1_gene	SLX1A	0.461967841078691	1
rs12716973	KCTD13	KCTD13_1_gene	SULT1A4	1	1
rs12716973	KCTD13	KCTD13_1_gene	MIR3680-1	1	1
rs12716973	KCTD13	KCTD13_1_gene	MIR3680-2	1	1
rs12716973	KCTD13	KCTD13_1_gene	QPRT	0.420427913670383	1
rs12716973	KCTD13	KCTD13_1_gene	SPN	1	1
rs12716973	KCTD13	KCTD13_1_gene	MAZ	0.580251444597832	1
rs12716973	KCTD13	KCTD13_1_gene	C16orf54	1	1
rs12716973	KCTD13	KCTD13_1_gene	PAGR1	0.680081965422462	1
rs12716973	KCTD13	KCTD13_1_gene	KIF22	0.466714113911356	1
rs12716973	KCTD13	KCTD13_1_gene	PRRT2	0.00346336800947164	1
rs12716973	KCTD13	KCTD13_1_gene	CDIPT	0.99744695454466	1
rs12716973	KCTD13	KCTD13_1_gene	MVP	0.656266765185468	1
rs12716973	KCTD13	KCTD13_1_gene	ZG16	1	1
rs12716973	KCTD13	KCTD13_1_gene	KCTD13	0.797034354864792	1
rs12716973	KCTD13	KCTD13_1_gene	HIRIP3	0.598350017403786	1
rs12716973	KCTD13	KCTD13_1_gene	TAOK2	0.417968414804415	1
rs12716973	KCTD13	KCTD13_1_gene	TMEM219	0.157674552398177	1
rs12716973	KCTD13	KCTD13_1_gene	ASPHD1	0.821153971852254	1
rs12716973	KCTD13	KCTD13_1_gene	ALDOA	0.738316408694864	1
rs12716973	KCTD13	KCTD13_1_gene	C16orf92	1	1
rs12716973	KCTD13	KCTD13_1_gene	PPP4C	0.153599222922661	1
rs12716973	KCTD13	KCTD13_1_gene	DOC2A	0.845443547867949	1
rs12716973	KCTD13	KCTD13_1_gene	FAM57B	0.285358489094556	1
rs12716973	KCTD13	KCTD13_1_gene	TBX6	1	1
rs12716973	KCTD13	KCTD13_1_gene	YPEL3	0.91640846427474	1
rs12716973	KCTD13	KCTD13_1_gene	GDPD3	1	1
rs12716973	KCTD13	KCTD13_1_gene	MAPK3	0.780424538226145	1
rs12716973	KCTD13	KCTD13_1_gene	CORO1A	0.743050381372173	1
rs12716973	KCTD13	KCTD13_1_gene	TBC1D10B	0.512455311636278	1
rs12716973	KCTD13	KCTD13_1_gene	CD2BP2	0.55730702532541	1
rs12716973	KCTD13	KCTD13_1_gene	MYLPF	0.326980627123772	1
rs12716973	KCTD13	KCTD13_1_gene	SEPT1	0.781312752401272	1
rs12716973	KCTD13	KCTD13_1_gene	DCTPP1	0.827280931297596	1
rs12716973	KCTD13	KCTD13_1_gene	ZNF771	0.147017589998138	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF48	0.0131216287330712	1
rs12716973	KCTD13	KCTD13_2_gene	INO80E	0.814466983316161	1
rs12716973	KCTD13	KCTD13_2_gene	SEZ6L2	0.601449982734203	1
rs12716973	KCTD13	KCTD13_2_gene	SLX1A-SULT1A3	1	1
rs12716973	KCTD13	KCTD13_2_gene	BOLA2B	0.753259620911775	1
rs12716973	KCTD13	KCTD13_2_gene	SLX1B	1	1
rs12716973	KCTD13	KCTD13_2_gene	BOLA2	0.225450224563741	1
rs12716973	KCTD13	KCTD13_2_gene	SULT1A3	0.810337127314159	1
rs12716973	KCTD13	KCTD13_2_gene	SLX1B-SULT1A4	1	1
rs12716973	KCTD13	KCTD13_2_gene	SLX1A	0.452970547769386	1
rs12716973	KCTD13	KCTD13_2_gene	SULT1A4	1	1
rs12716973	KCTD13	KCTD13_2_gene	MIR3680-1	1	1
rs12716973	KCTD13	KCTD13_2_gene	MIR3680-2	1	1
rs12716973	KCTD13	KCTD13_2_gene	QPRT	0.433809828552997	1
rs12716973	KCTD13	KCTD13_2_gene	SPN	0.0827458962845744	1
rs12716973	KCTD13	KCTD13_2_gene	MAZ	0.880650906999097	1
rs12716973	KCTD13	KCTD13_2_gene	C16orf54	1	1
rs12716973	KCTD13	KCTD13_2_gene	PAGR1	0.14691079685874	1
rs12716973	KCTD13	KCTD13_2_gene	KIF22	0.65913225332295	1
rs12716973	KCTD13	KCTD13_2_gene	PRRT2	0.82625403970746	1
rs12716973	KCTD13	KCTD13_2_gene	CDIPT	0.46733660910962	1
rs12716973	KCTD13	KCTD13_2_gene	MVP	0.687594845180126	1
rs12716973	KCTD13	KCTD13_2_gene	ZG16	1	1
rs12716973	KCTD13	KCTD13_2_gene	KCTD13	0.699804992334038	1
rs12716973	KCTD13	KCTD13_2_gene	HIRIP3	0.440054510787095	1
rs12716973	KCTD13	KCTD13_2_gene	TAOK2	0.755637922367155	1
rs12716973	KCTD13	KCTD13_2_gene	TMEM219	0.0773687282712427	1
rs12716973	KCTD13	KCTD13_2_gene	ASPHD1	0.110972567535004	1
rs12716973	KCTD13	KCTD13_2_gene	ALDOA	0.638803447721863	1
rs12716973	KCTD13	KCTD13_2_gene	C16orf92	1	1
rs12716973	KCTD13	KCTD13_2_gene	PPP4C	0.597300812932574	1
rs12716973	KCTD13	KCTD13_2_gene	DOC2A	0.97451612086023	1
rs12716973	KCTD13	KCTD13_2_gene	FAM57B	0.00848477748045089	1
rs12716973	KCTD13	KCTD13_2_gene	TBX6	1	1
rs12716973	KCTD13	KCTD13_2_gene	YPEL3	0.777441875882441	1
rs12716973	KCTD13	KCTD13_2_gene	GDPD3	1	1
rs12716973	KCTD13	KCTD13_2_gene	MAPK3	0.41004268219052	1
rs12716973	KCTD13	KCTD13_2_gene	CORO1A	0.529110162857632	1
rs12716973	KCTD13	KCTD13_2_gene	TBC1D10B	0.447411646282402	1
rs12716973	KCTD13	KCTD13_2_gene	CD2BP2	0.839923189764738	1
rs12716973	KCTD13	KCTD13_2_gene	MYLPF	0.309277072597677	1
rs12716973	KCTD13	KCTD13_2_gene	SEPT1	0.818674207466756	1
rs12716973	KCTD13	KCTD13_2_gene	DCTPP1	0.640118269478487	1
rs12716973	KCTD13	KCTD13_2_gene	ZNF771	0.151267261482193	1
rs12716973	KCTD13	KCTD13_3_gene	ZNF48	0.00425914879982499	1
rs12716973	KCTD13	KCTD13_3_gene	INO80E	0.218016443247929	1
rs12716973	KCTD13	KCTD13_3_gene	SEZ6L2	0.63054720729825	1
rs12716973	KCTD13	KCTD13_3_gene	SLX1A-SULT1A3	1	1
rs12716973	KCTD13	KCTD13_3_gene	BOLA2B	0.975262958694254	1
rs12716973	KCTD13	KCTD13_3_gene	SLX1B	0.114793284310457	1
rs12716973	KCTD13	KCTD13_3_gene	BOLA2	0.420408728028856	1
rs12716973	KCTD13	KCTD13_3_gene	SULT1A3	0.855787697333252	1
rs12716973	KCTD13	KCTD13_3_gene	SLX1B-SULT1A4	1	1
rs12716973	KCTD13	KCTD13_3_gene	SLX1A	0.595096405126733	1
rs12716973	KCTD13	KCTD13_3_gene	SULT1A4	1	1
rs12716973	KCTD13	KCTD13_3_gene	MIR3680-1	1	1
rs12716973	KCTD13	KCTD13_3_gene	MIR3680-2	1	1
rs12716973	KCTD13	KCTD13_3_gene	QPRT	0.788505325111985	1
rs12716973	KCTD13	KCTD13_3_gene	SPN	1	1
rs12716973	KCTD13	KCTD13_3_gene	MAZ	0.864743085815747	1
rs12716973	KCTD13	KCTD13_3_gene	C16orf54	1	1
rs12716973	KCTD13	KCTD13_3_gene	PAGR1	0.928354889990146	1
rs12716973	KCTD13	KCTD13_3_gene	KIF22	0.0471761751598	1
rs12716973	KCTD13	KCTD13_3_gene	PRRT2	0.322391241634634	1
rs12716973	KCTD13	KCTD13_3_gene	CDIPT	0.647785668871499	1
rs12716973	KCTD13	KCTD13_3_gene	MVP	0.208257558481061	1
rs12716973	KCTD13	KCTD13_3_gene	ZG16	1	1
rs12716973	KCTD13	KCTD13_3_gene	KCTD13	0.555018066902493	1
rs12716973	KCTD13	KCTD13_3_gene	HIRIP3	0.562635061737957	1
rs12716973	KCTD13	KCTD13_3_gene	TAOK2	0.593940871981116	1
rs12716973	KCTD13	KCTD13_3_gene	TMEM219	0.92364909155112	1
rs12716973	KCTD13	KCTD13_3_gene	ASPHD1	0.0960500057558004	1
rs12716973	KCTD13	KCTD13_3_gene	ALDOA	0.627959784293003	1
rs12716973	KCTD13	KCTD13_3_gene	C16orf92	1	1
rs12716973	KCTD13	KCTD13_3_gene	PPP4C	0.819008527563462	1
rs12716973	KCTD13	KCTD13_3_gene	DOC2A	0.226478184140193	1
rs12716973	KCTD13	KCTD13_3_gene	FAM57B	0.299273135150569	1
rs12716973	KCTD13	KCTD13_3_gene	TBX6	1	1
rs12716973	KCTD13	KCTD13_3_gene	YPEL3	0.0189575843163627	1
rs12716973	KCTD13	KCTD13_3_gene	GDPD3	1	1
rs12716973	KCTD13	KCTD13_3_gene	MAPK3	0.94125898830819	1
rs12716973	KCTD13	KCTD13_3_gene	CORO1A	0.566791662501099	1
rs12716973	KCTD13	KCTD13_3_gene	TBC1D10B	0.0630989978055089	1
rs12716973	KCTD13	KCTD13_3_gene	CD2BP2	0.918674874013444	1
rs12716973	KCTD13	KCTD13_3_gene	MYLPF	0.50762742674949	1
rs12716973	KCTD13	KCTD13_3_gene	SEPT1	0.984576939341396	1
rs12716973	KCTD13	KCTD13_3_gene	DCTPP1	0.503106684257665	1
rs12716973	KCTD13	KCTD13_3_gene	ZNF771	0.829656924858745	1
rs2192932	KMT2E	KMT2E_1_gene	SRPK2	0.743554492254239	1
rs2192932	KMT2E	KMT2E_1_gene	KMT2E	0.489448107936897	1
rs2192932	KMT2E	KMT2E_1_gene	LHFPL3	1	1
rs2192932	KMT2E	KMT2E_1_gene	PUS7	0.797108794830514	1
rs2192932	KMT2E	KMT2E_1_gene	LHFPL3-AS2	1	1
rs2192932	KMT2E	KMT2E_2_gene	SRPK2	0.329772828998052	1
rs2192932	KMT2E	KMT2E_2_gene	KMT2E	0.678314658427128	1
rs2192932	KMT2E	KMT2E_2_gene	LHFPL3	1	1
rs2192932	KMT2E	KMT2E_2_gene	PUS7	0.30662397443028	1
rs2192932	KMT2E	KMT2E_2_gene	LHFPL3-AS2	1	1
rs2192932	KMT2E	KMT2E_3_gene	SRPK2	0.855918591974229	1
rs2192932	KMT2E	KMT2E_3_gene	KMT2E	0.583908009571899	1
rs2192932	KMT2E	KMT2E_3_gene	LHFPL3	1	1
rs2192932	KMT2E	KMT2E_3_gene	PUS7	0.503946571895226	1
rs2192932	KMT2E	KMT2E_3_gene	LHFPL3-AS2	1	1
rs17200916	LOC105376975	LOC105376975_1_gene	TBC1D5	0.315186622978014	1
rs17200916	LOC105376975	LOC105376975_2_gene	TBC1D5	0.0189453269446508	1
rs17200916	LOC105376975	LOC105376975_3_gene	TBC1D5	0.602706991940004	1
rs1198588	miR137	miR137_1_gene	DPYD	1	1
rs1198588	miR137	miR137_1_gene	MIR137HG	1	1
rs1198588	miR137	miR137_1_gene	MIR2682	1	1
rs1198588	miR137	miR137_1_gene	MIR137	1	1
rs1198588	miR137	miR137_2_gene	DPYD	0.119157742561781	1
rs1198588	miR137	miR137_2_gene	MIR137HG	1	1
rs1198588	miR137	miR137_2_gene	MIR2682	1	1
rs1198588	miR137	miR137_2_gene	MIR137	1	1
rs1198588	miR137	miR137_3_gene	DPYD	1	1
rs1198588	miR137	miR137_3_gene	MIR137HG	0.224312327181934	1
rs1198588	miR137	miR137_3_gene	MIR2682	1	1
rs1198588	miR137	miR137_3_gene	MIR137	1	1
rs324017	NAB2	NAB2_1_gene	R3HDM2	0.996006433034376	1
rs324017	NAB2	NAB2_1_gene	BAZ2A	0.935442227768202	1
rs324017	NAB2	NAB2_1_gene	TAC3	0.598530945236886	1
rs324017	NAB2	NAB2_1_gene	LRP1	0.996505791658276	1
rs324017	NAB2	NAB2_1_gene	DCTN2	0.263808237090149	1
rs324017	NAB2	NAB2_1_gene	RBMS2	0.468676612302395	1
rs324017	NAB2	NAB2_1_gene	PTGES3	0.0165116077471131	1
rs324017	NAB2	NAB2_1_gene	NACA	0.812463794194114	1
rs324017	NAB2	NAB2_1_gene	PRIM1	0.794410331773588	1
rs324017	NAB2	NAB2_1_gene	HSD17B6	0.3690286554219	1
rs324017	NAB2	NAB2_1_gene	SDR9C7	1	1
rs324017	NAB2	NAB2_1_gene	ZBTB39	0.730805219327814	1
rs324017	NAB2	NAB2_1_gene	GPR182	1	1
rs324017	NAB2	NAB2_1_gene	RDH16	0.147471184907737	1
rs324017	NAB2	NAB2_1_gene	STAT6	0.133336713975178	1
rs324017	NAB2	NAB2_1_gene	MYO1A	1	1
rs324017	NAB2	NAB2_1_gene	NAB2	0.0589068041278743	1
rs324017	NAB2	NAB2_1_gene	SHMT2	0.38080885201662	1
rs324017	NAB2	NAB2_1_gene	STAC3	0.147772372548801	1
rs324017	NAB2	NAB2_1_gene	NXPH4	0.584993118126985	1
rs324017	NAB2	NAB2_1_gene	MIR1228	1	1
rs324017	NAB2	NAB2_1_gene	NDUFA4L2	0.396365704722229	1
rs324017	NAB2	NAB2_1_gene	INHBE	0.896428229760799	1
rs324017	NAB2	NAB2_1_gene	GLI1	0.246486967443367	1
rs324017	NAB2	NAB2_1_gene	DDIT3	0.971664569561708	1
rs324017	NAB2	NAB2_1_gene	INHBC	1	1
rs324017	NAB2	NAB2_1_gene	MBD6	0.203158681498643	1
rs324017	NAB2	NAB2_1_gene	MIR6758	1	1
rs324017	NAB2	NAB2_1_gene	ARHGAP9	0.265556379137803	1
rs324017	NAB2	NAB2_1_gene	MARS	0.0761650482537783	1
rs324017	NAB2	NAB2_1_gene	MIR616	1	1
rs324017	NAB2	NAB2_1_gene	KIF5A	0.58719986297577	1
rs324017	NAB2	NAB2_1_gene	PIP4K2C	0.952874865521875	1
rs324017	NAB2	NAB2_2_gene	R3HDM2	0.887098664531349	1
rs324017	NAB2	NAB2_2_gene	BAZ2A	0.289126206874497	1
rs324017	NAB2	NAB2_2_gene	TAC3	0.438042160406057	1
rs324017	NAB2	NAB2_2_gene	LRP1	0.421861017134963	1
rs324017	NAB2	NAB2_2_gene	DCTN2	0.0804926995452523	1
rs324017	NAB2	NAB2_2_gene	RBMS2	0.470510608290792	1
rs324017	NAB2	NAB2_2_gene	PTGES3	0.300941394811963	1
rs324017	NAB2	NAB2_2_gene	NACA	0.556427226785872	1
rs324017	NAB2	NAB2_2_gene	PRIM1	0.467804964507409	1
rs324017	NAB2	NAB2_2_gene	HSD17B6	0.369903074095243	1
rs324017	NAB2	NAB2_2_gene	SDR9C7	1	1
rs324017	NAB2	NAB2_2_gene	ZBTB39	0.751161399244119	1
rs324017	NAB2	NAB2_2_gene	GPR182	1	1
rs324017	NAB2	NAB2_2_gene	RDH16	1	1
rs324017	NAB2	NAB2_2_gene	STAT6	0.148135232177736	1
rs324017	NAB2	NAB2_2_gene	MYO1A	1	1
rs324017	NAB2	NAB2_2_gene	NAB2	0.759277623271078	1
rs324017	NAB2	NAB2_2_gene	SHMT2	0.281081938134246	1
rs324017	NAB2	NAB2_2_gene	STAC3	1	1
rs324017	NAB2	NAB2_2_gene	NXPH4	0.33634440992063	1
rs324017	NAB2	NAB2_2_gene	MIR1228	1	1
rs324017	NAB2	NAB2_2_gene	NDUFA4L2	0.480471721748447	1
rs324017	NAB2	NAB2_2_gene	INHBE	0.228115956926047	1
rs324017	NAB2	NAB2_2_gene	GLI1	0.112357441510497	1
rs324017	NAB2	NAB2_2_gene	DDIT3	0.263314378866977	1
rs324017	NAB2	NAB2_2_gene	INHBC	1	1
rs324017	NAB2	NAB2_2_gene	MBD6	0.54423519467004	1
rs324017	NAB2	NAB2_2_gene	MIR6758	1	1
rs324017	NAB2	NAB2_2_gene	ARHGAP9	0.507486000209027	1
rs324017	NAB2	NAB2_2_gene	MARS	0.430081228513415	1
rs324017	NAB2	NAB2_2_gene	MIR616	1	1
rs324017	NAB2	NAB2_2_gene	KIF5A	0.802594239696473	1
rs324017	NAB2	NAB2_2_gene	PIP4K2C	0.33163435320296	1
rs324017	NAB2	NAB2_3_gene	R3HDM2	0.615694063292588	1
rs324017	NAB2	NAB2_3_gene	BAZ2A	0.782782837025018	1
rs324017	NAB2	NAB2_3_gene	TAC3	0.668010500356846	1
rs324017	NAB2	NAB2_3_gene	LRP1	0.407742854487589	1
rs324017	NAB2	NAB2_3_gene	DCTN2	0.480396798731436	1
rs324017	NAB2	NAB2_3_gene	RBMS2	0.69886190009217	1
rs324017	NAB2	NAB2_3_gene	PTGES3	0.608373064771041	1
rs324017	NAB2	NAB2_3_gene	NACA	0.999978428318213	1
